frame_idx,x,y,w,h,ellipse_x,ellipse_y,ellipse_w,ellipse_h,ellipse_angle
1,141,65,65.44853210449219,77.91047668457031,125.62777709960938,103.125,65.44853210449219,77.91047668457031,0.0
2,143,68,65.70208740234375,78.08220672607422,123.8443603515625,100.03125,65.70208740234375,78.08220672607422,0.0
3,132,64,65.76276397705078,77.8607406616211,134.300537109375,104.7578125,65.76276397705078,77.8607406616211,0.0
4,131,60,66.39186096191406,78.19119262695312,135.69171142578125,108.189453125,66.39186096191406,78.19119262695312,0.0
5,129,58,67.18678283691406,78.47692108154297,137.50872802734375,110.04736328125,67.18678283691406,78.47692108154297,0.0
6,146,69,67.40280151367188,78.72605895996094,120.58172607421875,99.3868408203125,67.40280151367188,78.72605895996094,0.0
7,127,54,68.12415313720703,79.06177520751953,139.64813232421875,114.09671020507812,68.12415313720703,79.06177520751953,0.0
8,132,61,68.50257110595703,79.30712890625,134.557861328125,107.024169921875,68.50257110595703,79.30712890625,0.0
9,129,59,68.97433471679688,79.53832244873047,137.52398681640625,109.00604248046875,68.97433471679688,79.53832244873047,0.0
10,129,61,68.92815399169922,79.70631408691406,137.6112060546875,107.37651062011719,68.92815399169922,79.70631408691406,0.0
11,142,66,69.1458740234375,79.88363647460938,124.5916748046875,102.46913146972656,69.1458740234375,79.88363647460938,0.0
12,118,53,68.9298324584961,79.99679565429688,148.81585693359375,115.86727905273438,68.9298324584961,79.99679565429688,0.0
13,130,62,70.97950744628906,80.22752380371094,135.6678466796875,106.21682739257812,70.97950744628906,80.22752380371094,0.0
14,124,64,71.31244659423828,80.27392578125,140.70944213867188,104.42919921875,71.31244659423828,80.27392578125,0.0
15,139,71,72.19985961914062,80.43630981445312,125.43438720703125,97.4822998046875,72.19985961914062,80.43630981445312,0.0
16,142,69,72.76058959960938,80.6414566040039,122.3818359375,99.49557495117188,72.76058959960938,80.6414566040039,0.0
